49	4	-0.275	0.015	-0.300	0.030	-0.250	0.030	-0.250	0.000	-0.300	0.000
31	13	0.175	0.555	0.150	0.570	0.200	0.570	0.200	0.540	0.150	0.540
12	7	-0.125	1.125	-0.150	1.140	-0.100	1.140	-0.100	1.110	-0.150	1.110
29	19	0.475	0.615	0.450	0.630	0.500	0.630	0.500	0.600	0.450	0.600
11	8	-0.075	1.155	-0.100	1.170	-0.050	1.170	-0.050	1.140	-0.100	1.140
27	18	0.425	0.675	0.400	0.690	0.450	0.690	0.450	0.660	0.400	0.660
0	12	0.125	1.485	0.100	1.500	0.150	1.500	0.150	1.470	0.100	1.470
64	19	0.475	-0.435	0.450	-0.420	0.500	-0.420	0.500	-0.450	0.450	-0.450
63	5	-0.225	-0.405	-0.250	-0.390	-0.200	-0.390	-0.200	-0.420	-0.250	-0.420
45	13	0.175	0.135	0.150	0.150	0.200	0.150	0.200	0.120	0.150	0.120
48	2	-0.375	0.045	-0.400	0.060	-0.350	0.060	-0.350	0.030	-0.400	0.030
14	0	-0.475	1.065	-0.500	1.080	-0.450	1.080	-0.450	1.050	-0.500	1.050
28	3	-0.325	0.645	-0.350	0.660	-0.300	0.660	-0.300	0.630	-0.350	0.630
58	10	0.025	-0.255	0.000	-0.240	0.050	-0.240	0.050	-0.270	0.000	-0.270
16	17	0.375	1.005	0.350	1.020	0.400	1.020	0.400	0.990	0.350	0.990
17	19	0.475	0.975	0.450	0.990	0.500	0.990	0.500	0.960	0.450	0.960
29	4	-0.275	0.615	-0.300	0.630	-0.250	0.630	-0.250	0.600	-0.300	0.600
57	5	-0.225	-0.225	-0.250	-0.210	-0.200	-0.210	-0.200	-0.240	-0.250	-0.240
29	6	-0.175	0.615	-0.200	0.630	-0.150	0.630	-0.150	0.600	-0.200	0.600
53	9	-0.025	-0.105	-0.050	-0.090	0.000	-0.090	0.000	-0.120	-0.050	-0.120
41	8	-0.075	0.255	-0.100	0.270	-0.050	0.270	-0.050	0.240	-0.100	0.240
15	5	-0.225	1.035	-0.250	1.050	-0.200	1.050	-0.200	1.020	-0.250	1.020
22	3	-0.325	0.825	-0.350	0.840	-0.300	0.840	-0.300	0.810	-0.350	0.810
61	3	-0.325	-0.345	-0.350	-0.330	-0.300	-0.330	-0.300	-0.360	-0.350	-0.360
66	11	0.075	-0.495	0.050	-0.480	0.100	-0.480	0.100	-0.510	0.050	-0.510
76	14	0.225	-0.795	0.200	-0.780	0.250	-0.780	0.250	-0.810	0.200	-0.810
53	12	0.125	-0.105	0.100	-0.090	0.150	-0.090	0.150	-0.120	0.100	-0.120
36	15	0.275	0.405	0.250	0.420	0.300	0.420	0.300	0.390	0.250	0.390
38	11	0.075	0.345	0.050	0.360	0.100	0.360	0.100	0.330	0.050	0.330
21	11	0.075	0.855	0.050	0.870	0.100	0.870	0.100	0.840	0.050	0.840
63	14	0.225	-0.405	0.200	-0.390	0.250	-0.390	0.250	-0.420	0.200	-0.420
4	7	-0.125	1.365	-0.150	1.380	-0.100	1.380	-0.100	1.350	-0.150	1.350
61	12	0.125	-0.345	0.100	-0.330	0.150	-0.330	0.150	-0.360	0.100	-0.360
3	0	-0.475	1.395	-0.500	1.410	-0.450	1.410	-0.450	1.380	-0.500	1.380
17	18	0.425	0.975	0.400	0.990	0.450	0.990	0.450	0.960	0.400	0.960
4	0	-0.475	1.365	-0.500	1.380	-0.450	1.380	-0.450	1.350	-0.500	1.350
1	13	0.175	1.455	0.150	1.470	0.200	1.470	0.200	1.440	0.150	1.440
8	2	-0.375	1.245	-0.400	1.260	-0.350	1.260	-0.350	1.230	-0.400	1.230
25	3	-0.325	0.735	-0.350	0.750	-0.300	0.750	-0.300	0.720	-0.350	0.720
